id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8610295,Mercedes,AMG GT 53 4MATIC+,2022,Bakı,318750,Qara,6000,3.0,435,Benzin,Robot,Xeyr,"Vuruğu yoxdur, rənglənməyib",4080
8307665,Mercedes,S 500 4MATIC,2023,Bakı,349535,Qara,0,3.0,435,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",1766
8707930,Mercedes,GLC 300 e 4MATIC+ Coupe,2021,Bakı,102000,Yaş Asfalt,40000,2.0,320,Plug-in Hibrid,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2894
8742415,Mercedes,E 300 e,2021,Bakı,88400,Göy,30000,2.0,245,Plug-in Hibrid,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2761
8638855,Mercedes,E 350,2022,Bakı,107100,Boz,7000,2.0,300,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1317
8651257,Mercedes,S 450 4MATIC,2019,Bakı,100300,Qara,190000,3.0,367,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",13837
8710585,Mercedes,C 300,2015,Bakı,38930,Qara,166300,2.0,250,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3914
8732432,Mercedes,C 200,1998,Bakı,15900,Gümüşü,181000,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2837
8657120,Mercedes,E 220 d,1999,Sumqayıt,12800,Yaş Asfalt,467000,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2786
8751794,Mercedes,190,1992,Bakı,7300,Tünd qırmızı,333000,2.0,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",232
8724410,Mercedes,E 220 d,2015,Bakı,37500,Ağ,175000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2452
8672018,Mercedes,E 300,2014,Bakı,51000,Ağ,50200,3.5,252,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4695
8106962,Mercedes,E 350,2009,Bakı,25500,Qara,290000,3.5,306,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1491
8724591,Mercedes,C 200,1996,Bakı,9500,Gümüşü,302345,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1453
8717090,Mercedes,E 220 d,2005,Bakı,18500,Qara,470000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2009
8752242,Mercedes,C 240,2000,Bakı,12700,Gümüşü,457400,2.4,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",41
8713549,Mercedes,E 280,1998,Bakı,4600,Göy,255500,2.8,193,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",9897
8752243,Mercedes,C 200,1995,Bakı,7900,Göy,410000,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",109
8731395,Mercedes,S 320,2000,Bakı,9900,Qara,325800,3.2,224,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1876
8711748,Mercedes,E 220 d,2007,Bakı,24600,Gümüşü,226211,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1699
8746944,Mercedes,E 300 4MATIC,2017,Bakı,62900,Qara,137000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",95
8690036,Mercedes,190,1990,Dəliməmmədli,4500,Qara,420090,2.0,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1256
8717675,Mercedes,E 220 d,2000,Bakı,13200,Yaş Asfalt,370000,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2599
8143565,Mercedes,S 350,2011,Bakı,39100,Ağ,173000,3.5,306,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",57
7861492,Mercedes,E 220 d,2020,Bakı,80750,Qara,79000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",6149
8518737,Mercedes,C 250,2012,Bakı,23500,Boz,91000,1.8,204,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1056
8752202,Mercedes,Vito 116,2012,Bakı,31000,Qara,346000,2.2,163,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",52
8752108,Mercedes,C 180,1994,Bakı,7500,Gümüşü,584697,1.8,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",156
8727365,Mercedes,GL 400 4MATIC,2014,Bakı,52700,Göy,188000,3.0,333,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",5303
8752199,Mercedes,C 180,1998,Bakı,9800,Tünd qırmızı,400000,1.8,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",77
8752190,Mercedes,E 220,1994,Bakı,11000,Qara,350000,2.2,150,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",109
8393775,Mercedes,E 220 d,2007,Sumqayıt,21900,Gümüşü,261000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",68
8315319,Mercedes,G 63 AMG,2023,Bakı,474300,Qara,4000,4.0,585,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",735
8752183,Mercedes,C 200,1998,Gəncə,12000,Göy,388600,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",80
8731371,Mercedes,C 230,2000,Bakı,14500,Gümüşü,250000,2.3,193,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1711
8314291,Mercedes,GLS 450 4MATIC,2019,Bakı,147900,Qara,98000,3.0,367,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1190
8746252,Mercedes,C 230,1999,Bakı,12900,Ağ,208000,2.3,150,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",7412
8303840,Mercedes,S 500,2014,Bakı,98221,Ağ,42700,4.7,455,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",6905
8739225,Mercedes,G 63 AMG,2022,Bakı,424621,Qara,17000,4.0,585,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2578
8747959,Mercedes,C 180,1998,Bakı,10000,Yaşıl,378810,1.8,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",190
8696845,Mercedes,ML 320 4MATIC,2006,Bakı,23300,Qara,438000,3.0,224,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",10648
8734880,Mercedes,B 170,2008,Sumqayıt,15500,Qara,62000,1.7,116,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",765
8738725,Mercedes,G 55 AMG,2010,Bakı,85000,Qara,145000,5.5,407,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",6446
8605049,Mercedes,Vito 111,2009,Bakı,24200,Ağ,239000,2.2,180,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",13722
8670050,Mercedes,E 350,2008,Gəncə,18500,Qara,210000,3.5,272,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",10476
8619298,Mercedes,ML 350 4MATIC,2010,Bakı,24000,Ağ,270000,3.5,272,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1114
8659591,Mercedes,E 300,2017,Bakı,56100,Yaş Asfalt,43000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",9069
8570877,Mercedes,Vito 111,2008,Bakı,21000,Gümüşü,490000,2.2,116,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",1874
8690404,Mercedes,C 300 4MATIC,2015,Bakı,37900,Yaş Asfalt,118000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4235
8752094,Mercedes,Viano,2012,Bakı,41000,Qara,553000,2.2,163,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",82
8752076,Mercedes,E 270,1999,Balakən,16700,Gümüşü,400000,2.7,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",110
8752072,Mercedes,190,1990,Şirvan,5500,Qırmızı,486738,2.5,122,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",177
8752005,Mercedes,Vito,2007,Astara,20500,Gümüşü,465600,3.0,204,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",104
8733356,Mercedes,Sprinter 515,2007,Bərdə,33800,Ağ,188000,2.2,150,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",823
8338639,Mercedes,E 220 d,2006,Bakı,25500,Qara,282000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1086
8752083,Mercedes,E 240,2004,Bakı,20000,Qara,260000,2.6,177,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",69
8434524,Mercedes,GL 500 4MATIC,2013,Bakı,60821,Qara,162500,4.7,435,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1290
8727837,Mercedes,E 220 d,2015,Bakı,39900,Ağ,165000,2.2,185,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1192
8752061,Mercedes,C 200,2000,Bakı,13500,Qara,490010,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",93
